 code | shorttext |             longtext             | sortno |     insertdate      |     updatedate      
  277 |           | cm2                              |      0 | 2022-02-01 08:31:03 | 
  278 |           | mm2                              |      0 | 2022-02-01 08:31:03 | 
  279 |           | Ingen                            |      0 | 2022-02-01 08:31:03 | 
  280 |           | RLU                              |      0 | 2022-02-01 08:31:03 | 
  281 |           | % af areal                       |      0 | 2022-02-01 08:31:03 | 
  282 |           | MWh/ton                          |      0 | 2022-02-01 08:31:03 | 
  283 |           | mg N/(g SS * h)                  |      0 | 2022-02-01 08:31:03 | 
  284 |           | MPN/100 ml                       |      0 | 2022-02-01 08:31:03 | 
  285 |           | MPN/g                            |      0 | 2022-02-01 08:31:03 | 
  286 |           | MPN/250 ml                       |      0 | 2022-02-01 08:31:03 | 
  287 |           | CFU/250 ml                       |      0 | 2022-02-01 08:31:03 | 
  288 |           | pr g                             |      0 | 2022-02-01 08:31:03 | 
  289 |           | pr L                             |      0 | 2022-02-01 08:31:03 | 
  290 |           | mg/kg P OS                       |      0 | 2022-02-01 08:31:03 | 
  291 |           | antal/kg TS                      |      0 | 2022-02-01 08:31:03 | 
  292 |           | ppbV                             |      0 | 2022-02-01 08:31:03 | 
  293 |           | ppmV                             |      0 | 2022-02-01 08:31:03 | 
  294 |           | Antal/µl                         |      0 | 2022-02-01 08:31:03 | 
  295 |           | i 1 L                            |      0 | 2022-02-01 08:31:03 | 
  296 |           | i 25 ml                          |      0 | 2022-02-01 08:31:03 | 
  297 |           | i 375 g                          |      0 | 2022-02-01 08:31:03 | 2022-02-19 11:00:12
  298 |           | µg/mm3                           |      0 | 2022-02-01 08:31:03 | 2022-02-19 11:00:12
  299 |           | pg/µm3                           |      0 | 2022-02-01 08:31:03 | 2022-02-19 11:00:12
  300 |           | i 5 L                            |      0 | 2022-02-01 08:31:03 | 2022-02-19 11:00:12
  301 |           | i 100 ml                         |      0 | 2022-02-01 08:31:03 | 2022-02-19 11:00:12
  306 |           | A                                |      0 | 2023-03-24 11:00:04 | 2023-12-18 15:31:34
  307 |           | mAh                              |      0 | 2024-01-26 06:37:07 | 2024-02-21 06:36:57
  308 |           | sekund                           |      0 | 2024-06-28 06:36:54 | 2024-09-18 06:36:59
  309 |           | g VV                             |      0 | 2025-06-14 06:36:17 | 
  310 |           | g VV/cm3                         |      0 | 2025-06-14 06:36:17 | 
  311 |           | cm3                              |      0 | 2025-06-14 06:36:17 | 
  302 |           | i 100 g                          |      0 | 2022-02-23 11:00:18 | 2022-10-01 11:00:22
  305 |           | Volt                             |      0 | 2022-10-26 11:00:06 | 2023-03-14 11:00:25
  312 |           | 1/m                              |      0 | 2025-08-14 06:36:00 | 
  303 |           | GU/100 ml                        |      0 | 2022-08-19 10:58:14 | 2023-03-14 11:00:25
  304 |           | GU/l                             |      0 | 2022-08-19 10:58:14 | 2023-03-14 11:00:25
  313 |           | g/år                             |      0 | 2025-08-16 06:36:04 | 
  314 |           | mg/år                            |      0 | 2025-08-16 06:36:04 | 
    0 |           | Ikke oplyst                      |      0 | 2022-02-01 08:31:03 | 
    1 |           | mg/l                             |      0 | 2022-02-01 08:31:03 | 
    2 |           | mg/kg TS                         |      0 | 2022-02-01 08:31:03 | 
    3 |           | pH                               |      0 | 2022-02-01 08:31:03 | 
    4 |           | pct                              |      0 | 2022-02-01 08:31:03 | 
    6 |           | stk                              |      0 | 2022-02-01 08:31:03 | 
    7 |           | µS/cm                            |      0 | 2022-02-01 08:31:03 | 
    8 |           | meq/l                            |      0 | 2022-02-01 08:31:03 | 
    9 |           | mmol/l                           |      0 | 2022-02-01 08:31:03 | 
   10 |           | d                                |      0 | 2022-02-01 08:31:03 | 
   11 |           | FTU                              |      0 | 2022-02-01 08:31:03 | 
   12 |           | ml/l                             |      0 | 2022-02-01 08:31:03 | 
   13 |           | mg/kg VV                         |      0 | 2022-02-01 08:31:03 | 
   14 |           | kg/d                             |      0 | 2022-02-01 08:31:03 | 
   15 |           | antal/l                          |      0 | 2022-02-01 08:31:03 | 
   17 |           | pct overlevende                  |      0 | 2022-02-01 08:31:03 | 
   18 |           | antal/100 ml                     |      0 | 2022-02-01 08:31:03 | 
   19 |           | cm                               |      0 | 2022-02-01 08:31:03 | 
   20 |           | µg/l                             |      0 | 2022-02-01 08:31:03 | 
   21 |           | pct TS                           |      0 | 2022-02-01 08:31:03 | 
   22 |           | grader dH                        |      0 | 2022-02-01 08:31:03 | 
   23 |           | g/kg TS                          |      0 | 2022-02-01 08:31:03 | 
   24 |           | mS/m                             |      0 | 2022-02-01 08:31:03 | 
   25 |           | kg/år                            |      0 | 2022-02-01 08:31:03 | 
   26 |           | antal/g                          |      0 | 2022-02-01 08:31:03 | 
   27 |           | kg/m3                            |      0 | 2022-02-01 08:31:03 | 
   28 |           | kg/l                             |      0 | 2022-02-01 08:31:03 | 
   29 |           | grader C                         |      0 | 2022-02-01 08:31:03 | 
   30 |           | mg/kg GT                         |      0 | 2022-02-01 08:31:03 | 
   31 |           | g/kg GT                          |      0 | 2022-02-01 08:31:03 | 
   32 |           | mm                               |      0 | 2022-02-01 08:31:03 | 
   33 |           | m3/d                             |      0 | 2022-02-01 08:31:03 | 
   34 |           | m3/h                             |      0 | 2022-02-01 08:31:03 | 
   35 |           | antal/100 g                      |      0 | 2022-02-01 08:31:03 | 
   36 |           | promille                         |      0 | 2022-02-01 08:31:03 | 
   38 |           | mol/dm3                          |      0 | 2022-02-01 08:31:03 | 
   39 |           | µmol/dm3                         |      0 | 2022-02-01 08:31:03 | 
   40 |           | antal/110 ml                     |      0 | 2022-02-01 08:31:03 | 
   41 |           | antal/ml                         |      0 | 2022-02-01 08:31:03 | 
   42 |           | K                                |      0 | 2022-02-01 08:31:03 | 
   43 |           | S/cm                             |      0 | 2022-02-01 08:31:03 | 
   44 |           | S/m                              |      0 | 2022-02-01 08:31:03 | 
   45 |           | ppm                              |      0 | 2022-02-01 08:31:03 | 
   46 |           | ppb                              |      0 | 2022-02-01 08:31:03 | 
   47 |           | mg/m3                            |      0 | 2022-02-01 08:31:03 | 
   48 |           | ml/g                             |      0 | 2022-02-01 08:31:03 | 
   49 |           | mV                               |      0 | 2022-02-01 08:31:03 | 
   50 |           | antal/500 ml                     |      0 | 2022-02-01 08:31:03 | 
   51 |           | g/(m2*d)                         |      0 | 2022-02-01 08:31:03 | 
   52 |           | g/(m3*d)                         |      0 | 2022-02-01 08:31:03 | 
   53 |           | pCi/l                            |      0 | 2022-02-01 08:31:03 | 
   54 |           | fortyndingsgrad                  |      0 | 2022-02-01 08:31:03 | 
   55 |           | l/s                              |      0 | 2022-02-01 08:31:03 | 
   56 |           | m3/år                            |      0 | 2022-02-01 08:31:03 | 
   57 |           | 1000/100 ml                      |      0 | 2022-02-01 08:31:03 | 
   58 |           | 1000000/100 ml                   |      0 | 2022-02-01 08:31:03 | 
   59 |           | g/l                              |      0 | 2022-02-01 08:31:03 | 
   60 |           | g/d                              |      0 | 2022-02-01 08:31:03 | 
   61 |           | g/kg VV                          |      0 | 2022-02-01 08:31:03 | 
   62 |           | m3/måned                         |      0 | 2022-02-01 08:31:03 | 
   63 |           | m                                |      0 | 2022-02-01 08:31:03 | 2023-05-02 11:00:19
   64 |           | l/(s*km2)                        |      0 | 2022-02-01 08:31:03 | 
   65 |           | km2                              |      0 | 2022-02-01 08:31:03 | 
   67 |           | t/år                             |      0 | 2022-02-01 08:31:03 | 
   68 |           | ha                               |      0 | 2022-02-01 08:31:03 | 
   69 |           | mg/(m3*h)                        |      0 | 2022-02-01 08:31:03 | 
   70 |           | g/(m3*h)                         |      0 | 2022-02-01 08:31:03 | 
   71 |           | mg/g SS                          |      0 | 2022-02-01 08:31:03 | 
   72 |           | abs.                             |      0 | 2022-02-01 08:31:03 | 
   73 |           | pound                            |      0 | 2022-02-01 08:31:03 | 
   74 |           | pint                             |      0 | 2022-02-01 08:31:03 | 
   75 |           | gallon                           |      0 | 2022-02-01 08:31:03 | 
   76 |           | ounce                            |      0 | 2022-02-01 08:31:03 | 
   77 |           | quart                            |      0 | 2022-02-01 08:31:03 | 
   78 |           | mill/ml                          |      0 | 2022-02-01 08:31:03 | 
   79 |           | mill/g                           |      0 | 2022-02-01 08:31:03 | 
   80 |           | antal/50 ml                      |      0 | 2022-02-01 08:31:03 | 
   81 |           | antal/10 ml                      |      0 | 2022-02-01 08:31:03 | 
   82 |           | meq/kg                           |      0 | 2022-02-01 08:31:03 | 
   83 |           | mg/m2                            |      0 | 2022-02-01 08:31:03 | 
   84 |           | i 1 g                            |      0 | 2022-02-01 08:31:03 | 
   85 |           | i 25 g                           |      0 | 2022-02-01 08:31:03 | 
   86 |           | i 50 g                           |      0 | 2022-02-01 08:31:03 | 
   87 |           | % RF                             |      0 | 2022-02-01 08:31:03 | 2024-01-26 06:37:07
   88 |           | i.e./ml                          |      0 | 2022-02-01 08:31:03 | 
   89 |           | mg/dm2                           |      0 | 2022-02-01 08:31:03 | 
   90 |           | mg/s                             |      0 | 2022-02-01 08:31:03 | 
   91 |           | g                                |      0 | 2022-02-01 08:31:03 | 
   92 |           | kg                               |      0 | 2022-02-01 08:31:03 | 
   93 |           | t                                |      0 | 2022-02-01 08:31:03 | 
   94 |           | mg/g                             |      0 | 2022-02-01 08:31:03 | 
   95 |           | LE                               |      0 | 2022-02-01 08:31:03 | 
   96 |           | ml                               |      0 | 2022-02-01 08:31:03 | 
   97 |           | l                                |      0 | 2022-02-01 08:31:03 | 
   98 |           | m3                               |      0 | 2022-02-01 08:31:03 | 
   99 |           | dB(A)                            |      0 | 2022-02-01 08:31:03 | 
  101 |           | mg/(m2*d)                        |      0 | 2022-02-01 08:31:03 | 
  102 |           | mg/(m3*d)                        |      0 | 2022-02-01 08:31:03 | 
  103 |           | PE                               |      0 | 2022-02-01 08:31:03 | 
  104 |           | LE/s                             |      0 | 2022-02-01 08:31:03 | 
  105 |           | LE/m3                            |      0 | 2022-02-01 08:31:03 | 
  110 |           | normalkubikmeter                 |      0 | 2022-02-01 08:31:03 | 
  111 |           | LE/normalkubikmeter              |      0 | 2022-02-01 08:31:03 | 
  112 |           | normalkubikmeter/h               |      0 | 2022-02-01 08:31:03 | 
  113 |           | mg/normalkubikmeter              |      0 | 2022-02-01 08:31:03 | 
  120 |           | g/h                              |      0 | 2022-02-01 08:31:03 | 
  121 |           | mg/kg                            |      0 | 2022-02-01 08:31:03 | 
